w,h,map_cells,civilians,fire_density,trials,solved,time_ms_median,time_p25,time_p75,nodes_median,nodes_p25,nodes_p75
18,14,252,3,0.15,5,5,4.01,3.11,13.73,250.0,181.0,801.0
18,14,252,4,0.05,5,5,24.04,0.9,57.76,1471.0,52.0,3492.0
18,14,252,4,0.1,5,5,80.18,5.67,1211.68,4712.0,331.0,64274.0
18,14,252,4,0.15,5,5,126.81,107.15,586.02,6922.0,6159.0,30666.0
20,15,300,1,0.05,5,5,0.64,0.59,0.65,41.0,40.0,43.0
20,15,300,1,0.1,5,5,0.49,0.49,0.56,33.0,32.0,37.0
20,15,300,1,0.15,5,5,0.66,0.58,0.85,48.0,38.0,58.0
20,15,300,2,0.05,5,5,0.57,0.55,0.62,33.0,33.0,41.0
20,15,300,2,0.1,5,5,0.59,0.58,1.03,37.0,37.0,77.0
20,15,300,2,0.15,5,5,1.5,0.7,2.91,100.0,44.0,190.0
20,15,300,3,0.05,5,5,4.0,1.08,5.88,260.0,63.0,362.0
20,15,300,3,0.1,5,5,7.39,0.79,13.19,436.0,51.0,866.0
20,15,300,3,0.15,5,5,633.79,48.05,5378.67,34330.0,2670.0,280639.0
20,15,300,4,0.05,5,5,8.3,2.95,12.54,493.0,167.0,563.0
20,15,300,4,0.1,5,5,417.26,35.56,1295.95,22502.0,2103.0,66929.0
20,15,300,4,0.15,5,5,8.91,2.11,90.66,474.0,113.0,4992.0
